COMET FPGA pin,Pathfinder COMET connector,DCB data GBTx pin,Signal ID
COMET_A_J1-IC3-159,COMET_A_J1-89,U1_IC2-G18,DC0_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-160,COMET_A_J1-91,U1_IC2-F18,DC0_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-161,COMET_A_J1-95,U1_IC2-E11,DC0_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-163,COMET_A_J1-97,U1_IC2-E12,DC0_ELKS.GBTX_ELK_CH9_1_P
COMET_A_J1-IC3-166,COMET_A_J1-6,U5_IC2-A8,DC4_ELKS.GBTX_ELK_CH3_1_N
COMET_A_J1-IC3-167,COMET_A_J1-8,U5_IC2-A7,DC4_ELKS.GBTX_ELK_CH3_1_P
COMET_A_J1-IC3-188,COMET_A_J1-29,U6_IC2-G18,DC5_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-189,COMET_A_J1-31,U6_IC2-F18,DC5_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-190,COMET_A_J1-35,U6_IC2-E11,DC5_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-191,COMET_A_J1-37,U6_IC2-E12,DC5_ELKS.GBTX_ELK_CH9_1_P
COMET_A_J1-IC3-193,COMET_A_J1-41,U5_IC2-G18,DC4_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-194,COMET_A_J1-43,U5_IC2-F18,DC4_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-196,COMET_A_J1-47,U5_IC2-E11,DC4_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-197,COMET_A_J1-49,U5_IC2-E12,DC4_ELKS.GBTX_ELK_CH9_1_P
COMET_A_J1-IC3-198,COMET_A_J1-53,U4_IC2-G18,DC3_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-199,COMET_A_J1-55,U4_IC2-F18,DC3_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-201,COMET_A_J1-59,U4_IC2-E11,DC3_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-202,COMET_A_J1-61,U4_IC2-E12,DC3_ELKS.GBTX_ELK_CH9_1_P
